x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10]
,2008-02-22,0.045761062,0.031336771,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-25,0.042154989,0.016912481,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-26,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-27,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-28,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-02-29,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-03,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-04,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-05,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-06,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-07,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-10,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-11,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-12,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-13,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-14,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-17,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-18,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-19,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-20,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-21,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-24,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-25,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
,2008-03-26,0.042154989,0.020518553,0.024124626,0.05657928,0.096246078,0.132306805,0.157549313,0.175579676,0.200822185,0.226064693,None
