timestamp,price_close,n_trades,volume
1483230600,970.7,261,96.4995178000001
1483232400,970.27,185,88.2050846
1483234200,969.28,251,79.1567229600001
1483236000,970.49,166,69.19707845
1483237800,970.75,204,34.59074331
1483239600,967.95,192,73.8453958100001
1483241400,968.38,297,84.6029040400001
1483243200,968.14,176,40.49140952
1483245000,967.73,147,45.56022595
1483246800,968.1,163,33.85160454
1483248600,966.15,300,112.52378093
1483250400,966.92,160,47.34053975
1483252200,966.05,191,38.49780028
1483254000,969.45,216,30.0493262100001
1483255800,969.64,245,49.39174176
1483257600,969.47,110,33.4904676
1483259400,969.49,142,54.04710429
1483261200,969.15,137,35.54658331
1483263000,969.85,81,14.80424328
1483264800,970.38,125,37.81410258
1483266600,972.98,187,48.45100049
1483268400,974.99,165,51.7899250199999
1483270200,974.98,51,27.89823
1483272000,975,63,25.75588492
1483273800,975,88,21.34698954
1483275600,974.56,115,30.65001608
1483277400,977.21,176,56.142459
1483279200,977.99,107,68.54023593
1483281000,978.48,130,52.17249844
1483282800,979.99,142,48.77173786
1483284600,979.63,83,51.35483528
1483286400,979.99,137,59.25445876
1483288200,980.99,329,224.98869357
1483290000,994.79,650,320.22843034
1483291800,994.78,230,138.23263505
1483293600,994.42,281,228.36179271
1483295400,994.99,207,114.46225648
1483297200,997.12,418,233.10506744
1483299000,995.07,480,158.61435077
1483300800,994.92,373,113.04286256
1483302600,999.79,469,145.5663076
1483304400,1000,306,160.83838721
1483306200,999.63,377,212.68217026
1483308000,997.22,628,223.072673429999
1483309800,996.87,551,188.138111969999
1483311600,998,311,107.08054021
1483313400,996.82,357,102.83341048
1483315200,992.95,367,108.62054446
1483317000,997.42,355,146.88540091
1483318800,995.48,470,103.75396727
1483320600,992,393,132.15866841
1483322400,997.71,280,81.25330108
1483324200,998,224,83.60046253
1483326000,1002,407,170.18475471
1483327800,1010,398,209.09316665
1483329600,1009.63,518,228.27960686
1483331400,1008.29,429,94.7031032800001
1483333200,1009.62,287,96.99058664
1483335000,1006.39,428,158.79113195
1483336800,1003.64,487,181.69382454
1483338600,1007.66,394,79.8216160800001
1483340400,1009.65,232,110.67550206
1483342200,1009.89,283,82.5434613500001
1483344000,1012.25,329,101.41234063
1483345800,1009.95,311,60.3311952
1483347600,1012.03,177,48.26206662
1483349400,1013,333,62.61171137
1483351200,1015,272,59.97681232
1483353000,1012.04,230,112.54271227
1483354800,1015.79,369,86.1457900600001
1483356600,1019.99,302,61.90326434
1483358400,1024.84,279,88.8671062700001
